Time (seconds),angle_std,angle_medium,angle_median,velocity_std,velocity_medium,velocity_median,acceleration_std,acceleration_medium,acceleration_median,Classification
11,1.3026579707262649,79.82812005289858,79.94505478465477,0.145686759475024,-0.1086245304642015,-0.1434986111151665,0.0357617261670214,0.0113767097135697,0.0121016417647492,indirect
12,2.2212273874719277,77.33859008949733,77.79913705893799,0.5622858573513626,-0.3349159202171523,-0.1529586614842948,0.1273566605072779,-0.0760549487009689,-0.0304523896155401,indirect
13,17.761850410640115,66.55230586224754,63.38621029361548,5.326968333061954,-0.6837459520408672,-1.6205983480282793,1.6731663777417216,-0.1671644556537137,-0.5610450686689452,indirect
14,2.937303423516236,42.63714411793757,42.63714411793757,1.194236876104661,-4.938330898223412,-4.938330898223412,0.330934197189797,1.899828832923586,1.899828832923586,indirect
16,3.861299590302113,51.096772712779234,52.31080823120013,1.5791188520120614,0.712838694770964,0.2916452278387762,0.6524042740023801,-0.0998373593571381,-0.0188479858650696,indirect
0,2.9492272441439678,81.22708786083895,80.30500366934129,1.1955977427598938,-0.108134755497926,0.292316423370579,0.3298073228876216,0.1352430435554223,0.0518798653039578,indirect
1,14.016683950858576,75.13864160331741,79.2754885300738,2.9228885784312397,-1.9580139282590143,-0.6034847507238048,0.8546931616554001,-0.1876283462349773,-0.0667241002857092,indirect
2,9.889660544176042,37.117743166896,42.39286447973139,2.8766911587742507,-0.5020222918318389,-0.5459392547522262,1.2088619920222048,0.0643971171157775,-0.208516942947666,indirect
3,26.35674020458187,29.95764546688398,25.52441983426494,4.684265714405831,1.346770512516636,0.412995457555354,1.13299694726559,0.0303682888938816,0.0756773633547827,indirect
4,7.892800195251898,20.60525423116227,21.91418051360472,3.065930480384995,-0.1863774207083252,0.7249890593034936,0.7511301278695186,0.3004493615499337,-0.0159185645059457,indirect
5,3.5565081749121554,34.79213471726534,36.39884449888385,1.997829454228396,-0.2616542522451781,-0.1985498184728555,0.5381116308953645,-0.3908837039492707,-0.3536901818750584,indirect
6,15.544910712277352,30.10618296606237,34.856437956655284,2.7974594188160453,0.6509781745707561,0.942657938797402,0.8497979530310523,0.1836304372426176,0.1032717213652371,indirect
7,12.315089325663903,20.56658072293268,14.157370884372575,3.3873409223178688,0.1241536715061786,0.0340518330543116,0.8241340146446711,0.1925333403831323,0.2656304865571074,indirect
8,9.762314010249758,79.83180847853365,83.78955723259705,2.082508114428,1.1733845971135233,0.3476813713160354,0.2508289828329611,-0.2092209437393065,-0.1431190567758839,indirect
9,1.92757849873988,77.43301793935137,77.49466039692024,0.4177263728135372,-0.0969058139372684,0.1351007828885854,0.0713053827111763,0.0199494179573108,0.0009159204811784,indirect
10,1.9709920541244537,77.51459092711758,78.18024517400782,0.2404690756752443,-0.1101199835283367,-0.0896282820035665,0.0549102540040521,0.0063064880334878,-0.0092818082372047,indirect
11,1.1567505617183802,78.50496772509663,78.59217388333889,0.2976115403461311,0.0370569446048082,-0.0440547635095924,0.0550390489775832,-0.0338997476768177,-0.037812831369516,indirect
12,16.925320859608142,47.142668154239146,43.42523884407456,3.4217819304007686,-1.18713532898882,-0.6793609862112842,1.1382229888049185,-0.0205519740794416,-0.2597297088706937,indirect
13,11.34019083843367,14.904345615815252,9.777335220871343,2.5875010014424733,-0.5387008922441875,-0.985085827348002,0.6338938315944183,0.1758470535757186,0.0951863255075391,indirect
14,2.192324811522044,28.529882327671388,28.529882327671388,0.3913446724254602,3.332587582611969,3.332587582611969,0.0789494179827388,-0.6017903962037369,-0.6017903962037369,indirect
16,3.9582356374913297,34.56347890951442,33.0352372039512,0.7816227738313483,0.3604445256228682,0.3916936841067366,0.3309784561100713,-0.0654580614461197,-0.1071983867575276,indirect
